TP_ABRANGENCIA;SG_UF;NM_UE;CD_CARGO;DS_CARGO;SQ_CANDIDATO;NM_CANDIDATO;NM_URNA_CANDIDATO;CD_SITUACAO_CANDIDATURA;DS_SITUACAO_CANDIDATURA;CD_DETALHE_SITUACAO_CAND;DS_DETALHE_SITUACAO_CAND;TP_AGREMIACAO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;NM_COLIGACAO;CD_NACIONALIDADE;DS_NACIONALIDADE;NR_IDADE_DATA_POSSE;CD_GENERO;DS_GENERO;CD_GRAU_INSTRUCAO;DS_GRAU_INSTRUCAO;CD_ESTADO_CIVIL;DS_ESTADO_CIVIL;CD_COR_RACA;DS_COR_RACA;CD_OCUPACAO;DS_OCUPACAO;CD_SIT_TOT_TURNO;DS_SIT_TOT_TURNO;ST_REELEICAO;VR_DESPESA_CONTRATADA;QT_VOTOS_NOMINAIS;ELEITO
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000625642;VINICIUS AVELINO SAMPAIO OLIVEIRA;VINICIUS;12;APTO;2;DEFERIDO;COLIGAÇÃO;27;DC;DEMOCRACIA CRISTÃ;TODOS PELO DF;1;BRASILEIRA NATA;46;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);1;BRANCA;296;SERVIDOR PÚBLICO FEDERAL;4;NÃO ELEITO;N;989.4499999999999;310;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000611663;ROBERTO EUSTAQUIO INACIO VIEIRA;ROBERTO EUSTAQUIO;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;22;PR;PARTIDO DA REPÚBLICA;PARTIDO ISOLADO;1;BRASILEIRA NATA;64;2;MASCULINO;6;ENSINO MÉDIO;9;SEPARADO;3;PARDA;124;CONTADOR;5;SUPLENTE;N;;109;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000615726;HÉRCULES CEZÁRIO DA SILVA DO NASCIMENTO;PROFESSOR HERCULES  CEZAR;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;PARTIDO ISOLADO;1;BRASILEIRA NATA;30;2;MASCULINO;8;SUPERIOR COMPLETO;1;SOLTEIRO(A);1;BRANCA;266;PROFESSOR DE ENSINO MÉDIO;5;SUPLENTE;N;;169;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000601691;ATAILDES JOSÉ DE OLIVEIRA;ATAILDES OLIVEIRA;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;11;PP;PROGRESSISTAS;PARTIDO ISOLADO;1;BRASILEIRA NATA;55;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);1;BRANCA;297;SERVIDOR PÚBLICO ESTADUAL;5;SUPLENTE;N;15000.0;1084;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000621291;ANTONIO CUSTÓDIO NETO;NETO NOROESTE ;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;23;PPS;PARTIDO POPULAR SOCIALISTA;PARTIDO ISOLADO;1;BRASILEIRA NATA;39;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);1;BRANCA;131;ADVOGADO;4;NÃO ELEITO;N;18350.000000000004;3346;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000602361;GEUSA SANTANA DA SILVA;GEUSA;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;30;NOVO;PARTIDO NOVO;PARTIDO ISOLADO;1;BRASILEIRA NATA;58;4;FEMININO;8;SUPERIOR COMPLETO;9;SEPARADO;1;BRANCA;131;ADVOGADO;5;SUPLENTE;N;5030.45;481;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000614553;ANDRÉ BRANDÃO PERES;ANDRÉ BRANDÃO;12;APTO;2;DEFERIDO;COLIGAÇÃO;19;PODE;PODEMOS;UNIDOS PELO DF 2;1;BRASILEIRA NATA;37;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);1;BRANCA;101;ENGENHEIRO;5;SUPLENTE;N;134985.13999999998;4537;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000612450;LAÍS NATÁLIA SOARES DE SOUZA;LAÍS SOUZA;12;APTO;2;DEFERIDO;COLIGAÇÃO;35;PMB;PARTIDO DA MULHER BRASILEIRA;RENOVA DF;1;BRASILEIRA NATA;27;4;FEMININO;6;ENSINO MÉDIO;1;SOLTEIRO(A);3;PARDA;999;OUTROS;4;NÃO ELEITO;N;;2;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000628605;MARCUS VINICIUS SILVA PIAZZAROLLO;SGT MARCUS VINICIUS;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;PARTIDO ISOLADO;1;BRASILEIRA NATA;52;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);1;BRANCA;295;MEMBRO DAS FORÇAS ARMADAS;5;SUPLENTE;N;;117;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000608941;FRANCISCO DAS CHAGAS LIMA RAMOS;ENGENHEIRO FRANCISCO;12;APTO;2;DEFERIDO;COLIGAÇÃO;77;SOLIDARIEDADE;SOLIDARIEDADE;COLIGAÇÃO UNIDOS PELO DF 3;1;BRASILEIRA NATA;38;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);1;BRANCA;101;ENGENHEIRO;5;SUPLENTE;N;37812.25000000002;581;nao
